path,title,current_category,new_category,new_tags
_posts/2026-02-12-malvaktsspelet-anno-2026-kraver-en-atletisk-malvakt-med-positionell.md,Målvaktsspelet anno 2026 kräver en atletisk målvakt med positionell,training,technique,positioning
_posts/2026-02-12-passjonglering-kraver-bade-tajming-och-samarbete-av-malvakterna.md,Passjonglering kräver både tajming och samarbete av målvakterna,coordination,coordination,
_posts/2026-02-14-la-coordinacion-ojo-mano-es-una-capacidad-cognitiva-compleja-que.md,La coordinación ojo-mano es una capacidad cognitiva compleja que,coordination,coordination,footwork
_posts/2026-02-16-drill-to-level-up-your-rondos.md,Drill to level up your Rondos.,training,technique,
_posts/2026-02-16-mandag-och-innebandy.md,Måndag och innebandy!,warmup,warmup,
_posts/2026-02-17-flashiga-raddningar-av-och-pa-dagens.md,Flashiga räddningar av och på dagens 💪🏻,training,technique,
_posts/2026-02-18-goalie-coordination-by.md,Goalie coordination by МАРИЯ ЧООДУ • СПОРТ-ЖОНГЛЯЖ,coordination,coordination,
_posts/2026-02-19-ball-race-ft.md,Ball race ft.,warmup,warmup,
_posts/2026-02-19-fun-drills-for-young-athletes-with-a-tennis-ball.md,Fun drills for young athletes with a tennis ball 🎾,coordination,coordination,"hand-eye,tennis-ball"
_posts/2026-02-19-hips-don-t-lie-and-mine-prefer-maintenance.md,Hips don't lie – and mine prefer maintenance 😌,stretching,stretching,
_posts/2026-02-20-if-you-don-t-want-to-learn-the-box-i-can-only-guess-it-s-because-you.md,"If you don't want to learn the box, I can only guess it's because you",coordination,coordination,
_posts/2026-02-20-level-up-your-training-with-saliblock.md,Level up your training with Saliblock!,"floorball,training",technique,
_posts/2026-02-26-before-and-after-is-the-best-proof-of-the-work-thats-been-done.md,Before and after is the best proof of the work that’s been done 💪,coordination,coordination,
_posts/2026-03-07-could-you-have-managed-this-exercise-correctly.md,Could you have managed this exercise correctly?,"floorball,training",technique,
_posts/2026-03-11-do-you-get-it-yet.md,Do you get it yet?,"floorball,training",technique,
_posts/2026-03-16-goalie-training-by-vaud-unihockey-crp-spe.md,Goalie training by Vaud Unihockey CRP | SPE,training,technique,
_posts/2026-03-18-young-gks-follow-me.md,"Young GKs, follow me!",stretching,stretching,
_posts/2026-03-19-activarea-neuromusculara-inainte-de-antrenament-inseamna-sa-ti.md,Activarea neuromusculară înainte de antrenament înseamnă să-ți,coordination,coordination,
